"List","relentless","patient","curious","fast_learner","intuitive","perfectionist","tinkerer","detective","deep_learner","careful","concrete_thinker","communicator","aesthete","quick","abstract_thinker","idea_generator","competitive","symbolic_thinker","listener","disciplined","thorough","methodical","minimalist","organized","visual_thinker","clever","writer","good_memory","fearless"
"Relentless, Fast learner, Intuitive, Concrete thinker, Quick, Competitive, Disciplined, Thorough, Minimalist, Organized, Clever, Good memory",1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
"Curious, Intuitive, Deep learner, Symbolic thinker, Listener, Methodical",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Relentless, Curious, Intuitive, Perfectionist, Tinkerer, Detective, Careful, Communicator, Idea generator, Competitive, Listener, Disciplined, Minimalist, Organized, Visual thinker, Fearless",1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
"Relentless, Curious, Intuitive, Perfectionist, Concrete thinker, Abstract thinker, Competitive, Symbolic thinker, Listener, Thorough, Methodical, Organized, Visual thinker, Clever, Writer",1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
"Fast learner, Communicator, Quick, Idea generator, Competitive, Clever, Fearless",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
"Intuitive, Perfectionist, Deep learner, Careful, Communicator, Aesthete, Abstract thinker, Idea generator, Symbolic thinker, Listener, Thorough, Organized, Visual thinker, Writer",0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0
"Curious, Fast learner, Perfectionist, Deep learner, Careful, Concrete thinker, Communicator, Competitive, Listener, Disciplined, Thorough, Methodical, Organized, Good memory",0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0
"Fast learner, Perfectionist, Careful, Organized",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Curious, Careful, Concrete thinker, Communicator, Listener, Disciplined, Thorough, Organized",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"Curious, Fast learner, Intuitive, Tinkerer, Aesthete, Idea generator, Competitive, Listener, Disciplined, Clever, Writer",0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0
"Patient, Curious, Fast learner, Intuitive, Perfectionist, Communicator, Abstract thinker, Symbolic thinker, Listener, Disciplined, Thorough, Methodical, Organized, Visual thinker, Good memory",0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
"Curious, Communicator, Aesthete, Abstract thinker, Listener, Organized, Visual thinker, Good memory",0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
"Patient, Curious, Intuitive, Deep learner, Idea generator, Competitive, Symbolic thinker, Listener, Disciplined, Visual thinker, Writer",0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0
"Curious, Careful, Listener, Visual thinker",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Patient, Curious, Fast learner, Careful, Communicator, Idea generator, Competitive, Listener, Disciplined, Thorough, Methodical, Organized",0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0
"Relentless, Perfectionist, Communicator, Competitive, Listener, Disciplined, Organized, Visual thinker",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
"Patient, Careful, Methodical, Minimalist, Visual thinker, Good memory",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
"Curious, Perfectionist, Deep learner, Careful, Concrete thinker, Listener, Disciplined, Thorough, Methodical, Minimalist, Organized, Visual thinker",0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
"Fast learner, Intuitive, Perfectionist, Communicator, Quick, Competitive, Organized, Visual thinker, Clever, Writer, Good memory",0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
"Perfectionist, Deep learner, Careful, Concrete thinker, Idea generator, Symbolic thinker, Listener, Disciplined, Thorough, Methodical, Minimalist, Organized, Writer",0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
"Patient, Curious, Detective, Communicator, Abstract thinker, Competitive, Listener, Disciplined, Organized, Visual thinker, Writer, Good memory",0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0
"Patient, Communicator, Listener, Thorough, Organized",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"Perfectionist, Communicator, Competitive, Symbolic thinker, Organized",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Patient, Perfectionist, Deep learner, Concrete thinker, Competitive, Disciplined, Visual thinker, Writer, Good memory",0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
"Patient, Curious, Intuitive, Perfectionist, Detective, Careful, Quick, Listener, Disciplined, Minimalist",0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"Curious, Fast learner, Perfectionist, Communicator, Competitive, Listener, Organized, Visual thinker",0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
"Perfectionist, Tinkerer, Deep learner, Disciplined, Clever, Writer",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
